field_order,field_name,data_type,feature_group,source_table,time_scope,business_definition,calculation_rule,model_use_recommendation,leakage_status
1,user_id,UINTEGER,样本主键,final_candidate_keys,完整观察期,用户唯一标识，仅作为样本主键和关联字段。,由final_candidate_keys按既定口径生成,不直接入模，仅作为样本主键,通过：仅使用特征截止时间之前的数据
2,item_id,UINTEGER,样本主键,final_candidate_keys,完整观察期,商品唯一标识，仅作为样本主键和关联字段。,由final_candidate_keys按既定口径生成,不直接入模，仅作为样本主键,通过：仅使用特征截止时间之前的数据
3,item_category,USMALLINT,样本主键,final_candidate_keys,完整观察期,商品品类标识，可作为类别特征使用。,由final_candidate_keys按既定口径生成,类别编码后入模或用于关联,通过：仅使用特征截止时间之前的数据
4,feature_cutoff_time,TIMESTAMP,时间边界元数据,pipeline_metadata,特征截止时点,所有候选特征允许使用数据的统一截止时间。,由pipeline_metadata按既定口径生成,不直接入模，仅用于时间边界审计,时间边界审计字段
5,user_first_action_time,TIMESTAMP,用户多时间窗口特征,user_time_features,完整观察期,完整观察期的首次行为时间，用于刻画用户多时间窗口特征。,按对应主键取MIN(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
6,user_last_action_time,TIMESTAMP,用户多时间窗口特征,user_time_features,完整观察期,完整观察期的最近行为时间，用于刻画用户多时间窗口特征。,按对应主键取MAX(time),建议使用对应间隔特征，原始时间字段可剔除,通过：仅使用特征截止时间之前的数据
7,user_recency_hours,BIGINT,用户多时间窗口特征,user_time_features,完整观察期,完整观察期的距特征截止时间的小时数，用于刻画用户多时间窗口特征。,特征截止时间与最近行为时间的小时差,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
8,user_total_actions_1d,BIGINT,用户多时间窗口特征,user_time_features,近1天,近1天的行为总次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
9,user_view_count_1d,BIGINT,用户多时间窗口特征,user_time_features,近1天,近1天的浏览行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
10,user_favorite_count_1d,BIGINT,用户多时间窗口特征,user_time_features,近1天,近1天的收藏行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
11,user_cart_count_1d,BIGINT,用户多时间窗口特征,user_time_features,近1天,近1天的加购行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
12,user_purchase_count_1d,BIGINT,用户多时间窗口特征,user_time_features,近1天,近1天的购买行为次数，用于刻画用户多时间窗口特征。,按对应主键和时间窗口执行COUNT或SUM聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
13,user_unique_items_1d,BIGINT,用户多时间窗口特征,user_time_features,近1天,近1天的不同商品数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
14,user_unique_categories_1d,BIGINT,用户多时间窗口特征,user_time_features,近1天,近1天的不同品类数量，用于刻画用户多时间窗口特征。,按对应主键执行COUNT DISTINCT聚合,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
15,user_active_days_1d,BIGINT,用户多时间窗口特征,user_time_features,近1天,近1天的活跃天数，用于刻画用户多时间窗口特征。,由user_time_features按既定口径生成,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
16,user_purchase_action_pct_1d,DOUBLE,用户多时间窗口特征,user_time_features,近1天,近1天的购买行为次数占比，用于刻画用户多时间窗口特征。,分子/分母×100；分母为0时置0,可作为候选模型特征,通过：仅使用特征截止时间之前的数据
